OrderId,CustomerId,OrderStatusId,PaymentStatusId,ShippingStatusId,OrderSubtotalInclTax,OrderSubTotalDiscountInclTax,OrderSubTotalDiscountExclTax,OrderTotal,RefundedAmount,OrderDiscount,CurrencyRate,CustomerCurrencyCode,OrderDateTime
2070,2782506,30,30,10,600,0,0,600,0,0,1,USD,2017-06-04 00:30:33
2069,2798578,30,30,10,3,0,0,3,0,0,1,USD,2017-06-03 20:36:04
2068,2798587,30,30,10,5,0,0,5,0,0,1,USD,2017-06-03 20:34:43
2067,2798578,30,30,10,3,0,0,3,0,0,1,USD,2017-06-03 20:31:59
2066,1199780,30,30,10,230.77,0,0,230.77,0,0,1,USD,2017-06-03 18:47:21
2065,1424820,30,30,10,25,0,0,25,0,0,1,USD,2017-06-03 15:45:20
2064,2270712,30,30,10,6,0,0,6,0,0,1,USD,2017-06-03 14:48:50
2063,2797160,30,30,10,7,0,0,7,0,0,1,USD,2017-06-03 12:39:55
2062,2105637,30,30,10,250,0,0,250,0,0,1,USD,2017-06-03 08:45:30
2061,2583334,30,30,10,2,0,0,2,0,0,1,USD,2017-06-03 02:06:00
2060,1554327,30,30,10,240,0,0,240,0,0,1,USD,2017-06-02 21:38:41
2059,1554327,30,30,10,60,0,0,60,0,0,1,USD,2017-06-02 21:36:26
2058,2794595,30,30,10,215,0,0,215,0,0,1,USD,2017-06-02 21:29:16
2057,2794172,30,30,10,24.63,0,0,24.63,0,0,1,USD,2017-06-02 18:52:29
2056,2662454,30,30,10,7.69,0,0,7.69,0,0,1,USD,2017-06-02 18:09:52
2055,1244652,30,30,10,100,0,0,100,0,0,1,USD,2017-06-02 17:44:38
2054,2270019,30,30,10,6,0,0,6,0,0,1,USD,2017-06-02 14:23:16
2053,633737,30,30,10,3.6,0,0,0,0,3.6,1,USD,2017-06-02 13:28:38
2052,633737,30,30,10,5.54,0,0,0,0,5.54,1,USD,2017-06-02 13:26:40
2051,2660545,30,30,10,330.77,0,0,330.77,0,0,1,USD,2017-06-02 08:00:29
2050,2771058,30,30,10,5,0,0,5,0,0,1,USD,2017-06-02 06:07:25
2049,2787024,30,30,10,10,0,0,10,0,0,1,USD,2017-06-02 03:42:39
2048,2791061,30,30,10,2500,0,0,2500,0,0,1,USD,2017-06-02 03:00:38
2047,2769677,30,30,10,100,0,0,100,0,0,1,USD,2017-06-01 21:35:47
2046,2780519,30,30,10,4.5,0,0,4.5,0,0,1,USD,2017-06-01 21:23:28
2045,2790019,30,30,10,10,0,0,10,0,0,1,USD,2017-06-01 20:22:52
2044,2789986,30,30,10,4,0,0,4,0,0,1,USD,2017-06-01 19:41:43
2043,2780519,30,30,10,9,0,0,9,0,0,1,USD,2017-06-01 18:09:14
2042,2069709,30,30,10,6,0,0,6,0,0,1,USD,2017-06-01 16:50:37
2041,2748733,30,30,10,10,0,0,10,0,0,1,USD,2017-06-01 16:26:36
2040,1994385,30,30,10,20,0,0,20,0,0,1,USD,2017-06-01 15:36:08
2039,2789122,30,30,10,45,0,0,45,0,0,1,USD,2017-06-01 15:21:53
2038,2229608,30,30,10,250,0,0,250,0,0,1,USD,2017-06-01 13:56:47
2037,2760465,30,30,10,468,0,0,468,0,0,1,USD,2017-06-01 13:18:29
2036,2060670,30,30,10,6,0,0,6,0,0,1,USD,2017-06-01 09:39:12
2035,2787563,30,30,10,1150,0,0,1150,0,0,1,USD,2017-06-01 07:12:15
